iter	Logloss
0	0.6869024837
1	0.6808923843
2	0.6753173166
3	0.6706774918
4	0.6661453552
5	0.6618713798
6	0.6579523847
7	0.6543261053
8	0.6509087162
9	0.6479952735
10	0.6455320411
11	0.6433014017
12	0.6407972627
13	0.6382035161
14	0.6356809512
15	0.6336021452
16	0.631845691
17	0.6299683953
18	0.6282617606
19	0.6268473622
20	0.6252133947
21	0.6237514612
22	0.6225154231
23	0.62100269
24	0.6198471611
25	0.6188135315
26	0.6177221888
27	0.616548437
28	0.6154667887
29	0.6145372329
30	0.6136522197
31	0.612896231
32	0.6120130141
33	0.6111686614
34	0.6104405685
35	0.6097447802
36	0.6091355984
37	0.6085588077
38	0.6078739792
39	0.6073365621
40	0.6068153298
41	0.6062546548
42	0.6058004803
43	0.6051180052
44	0.6043703981
45	0.603875792
46	0.6032964536
47	0.6026841929
48	0.6022484055
49	0.6018000995
50	0.6014507112
51	0.6009161442
52	0.6004750151
53	0.6000399402
54	0.5997151529
55	0.5993668184
56	0.5989947076
57	0.598744846
58	0.5984467972
59	0.5981386222
60	0.5978395241
61	0.5975838934
62	0.5970967578
63	0.5966189497
64	0.5964005593
65	0.5960867059
66	0.5957889248
67	0.5955257847
68	0.5953018411
69	0.5950090865
70	0.5947792097
71	0.5945774489
72	0.5943027855
73	0.5940383607
74	0.5938549653
75	0.5936371018
76	0.5934998921
77	0.5932655762
78	0.5930110185
79	0.5927954134
80	0.5926104074
81	0.592307397
82	0.5921140006
83	0.5917754814
84	0.5916036049
85	0.5913910917
86	0.5911642592
87	0.5909026434
88	0.5907430523
89	0.5903715677
90	0.5901680256
91	0.5899768013
92	0.5898311883
93	0.5896755376
94	0.5895403877
95	0.5893624096
96	0.5890491952
97	0.5888768545
98	0.5886877504
99	0.5885158437
100	0.5884049753
101	0.5882710107
102	0.5881582919
103	0.5878960542
104	0.5877410707
105	0.5876103384
106	0.5874608174
107	0.587229332
108	0.5870533338
109	0.5868814811
110	0.5867077737
111	0.5865764994
112	0.5864349218
113	0.5862962029
114	0.5861724488
115	0.5860430465
116	0.5858675362
117	0.5857575724
118	0.5856126331
119	0.5854685574
120	0.5853759291
121	0.5852179444
122	0.5849892573
