iter	Passed	Remaining
0	208	103930
1	259	64647
2	302	50166
3	351	43565
4	401	39743
5	465	38302
6	526	37101
7	581	35749
8	634	34593
9	688	33739
10	738	32813
11	789	32104
12	841	31533
13	892	30977
14	942	30459
15	990	29976
16	1040	29568
17	1097	29376
18	1152	29164
19	1205	28933
20	1255	28642
21	1305	28368
22	1355	28118
23	1403	27841
24	1452	27598
25	1502	27389
26	1550	27169
27	1599	26967
28	1649	26796
29	1700	26644
30	1751	26503
31	1806	26424
32	1858	26298
33	1910	26181
34	1965	26113
35	2012	25941
36	2063	25824
37	2111	25670
38	2167	25624
39	2216	25485
40	2265	25357
41	2314	25235
42	2361	25098
43	2411	24988
44	2457	24844
45	2501	24689
46	2548	24566
47	2597	24460
48	2646	24354
49	2692	24229
50	2738	24105
51	2782	23971
52	2837	23934
53	2883	23813
54	2929	23698
55	2979	23620
56	3023	23498
57	3068	23386
58	3116	23295
59	3165	23215
60	3215	23137
61	3262	23048
62	3308	22951
63	3353	22844
64	3396	22727
65	3444	22653
66	3491	22565
67	3542	22506
68	3591	22432
69	3638	22350
70	3686	22275
71	3738	22222
72	3790	22172
73	3844	22131
74	3894	22068
75	3943	22000
76	3993	21937
77	4045	21885
78	4090	21800
79	4139	21734
80	4189	21673
81	4243	21628
82	4297	21589
83	4347	21530
84	4405	21507
85	4463	21487
86	4522	21470
87	4577	21429
88	4623	21350
89	4669	21274
90	4723	21229
91	4778	21192
92	4831	21142
93	4882	21089
94	4928	21012
95	4977	20947
96	5028	20890
97	5076	20825
98	5126	20765
99	5176	20707
100	5222	20631
101	5275	20585
102	5323	20519
103	5372	20458
104	5417	20381
105	5476	20356
106	5530	20314
107	5581	20260
108	5633	20206
109	5684	20153
110	5735	20100
111	5794	20072
112	5849	20032
113	5896	19966
114	5948	19915
115	5998	19856
116	6054	19818
117	6100	19749
118	6149	19687
119	6196	19621
120	6249	19573
121	6319	19579
122	6381	19559
123	6431	19501
124	6475	19425
125	6522	19361
126	6572	19304
127	6617	19231
128	6662	19160
129	6706	19087
130	6753	19024
131	6802	18963
132	6848	18896
133	6892	18825
134	6940	18764
135	6987	18703
136	7038	18649
137	7096	18615
138	7142	18548
139	7182	18468
140	7229	18406
141	7276	18345
142	7326	18289
143	7382	18250
144	7426	18181
145	7473	18120
146	7521	18061
147	7568	18001
148	7617	17943
149	7665	17885
150	7711	17824
151	7756	17757
152	7805	17702
153	7849	17634
154	7893	17568
155	7938	17506
156	7985	17447
157	8029	17379
158	8073	17314
159	8121	17257
160	8167	17198
161	8212	17134
162	8261	17080
163	8307	17019
164	8355	16963
165	8418	16939
166	8468	16885
167	8515	16828
168	8563	16772
169	8624	16741
170	8680	16700
171	8737	16661
172	8783	16602
173	8831	16546
174	8878	16488
175	8927	16434
176	8974	16377
177	9026	16328
178	9074	16272
179	9127	16226
180	9177	16173
181	9223	16116
182	9271	16060
183	9327	16018
184	9375	15964
185	9427	15915
186	9470	15851
187	9514	15789
188	9560	15732
189	9604	15671
190	9649	15611
191	9693	15550
192	9742	15497
193	9788	15439
194	9839	15389
195	9884	15331
196	9934	15280
197	9980	15223
198	10024	15162
199	10072	15108
200	10118	15052
201	10169	15002
202	10212	14941
203	10257	14884
204	10298	14819
205	10346	14766
206	10397	14716
207	10444	14662
208	10492	14609
209	10548	14567
210	10604	14524
211	10655	14475
212	10715	14438
213	10769	14393
214	10816	14338
215	10868	14290
216	10916	14236
217	10961	14179
218	11010	14127
219	11063	14080
220	11112	14028
221	11171	13989
222	11220	13937
223	11275	13892
224	11327	13844
225	11375	13791
226	11426	13741
227	11476	13691
228	11525	13639
229	11579	13593
230	11629	13543
231	11682	13495
232	11731	13443
233	11777	13388
234	11824	13334
235	11875	13284
236	11922	13230
237	11968	13174
238	12015	13121
239	12060	13065
240	12107	13011
241	12154	12957
242	12202	12905
243	12244	12847
244	12294	12796
245	12339	12740
246	12381	12682
247	12428	12629
248	12477	12577
249	12533	12533
250	12589	12489
251	12638	12437
252	12690	12389
253	12742	12340
254	12789	12288
255	12837	12235
256	12888	12186
257	12939	12136
258	12984	12082
259	13026	12024
260	13068	11967
261	13117	11915
262	13164	11863
263	13207	11806
264	13256	11756
265	13301	11701
266	13349	11649
267	13392	11593
268	13442	11543
269	13488	11490
270	13536	11438
271	13582	11385
272	13630	11333
273	13675	11280
274	13718	11224
275	13760	11167
276	13803	11112
277	13847	11057
278	13897	11008
279	13941	10953
280	13988	10901
281	14036	10850
282	14085	10800
283	14132	10748
284	14176	10694
285	14221	10640
286	14269	10590
287	14320	10541
288	14363	10487
289	14406	10432
290	14451	10379
291	14498	10327
292	14543	10274
293	14591	10223
294	14633	10169
295	14677	10115
296	14721	10061
297	14762	10006
298	14810	9955
299	14856	9904
300	14905	9854
301	14958	9807
302	15013	9761
303	15064	9712
304	15110	9660
305	15163	9613
306	15211	9563
307	15259	9512
308	15307	9461
309	15349	9407
310	15398	9358
311	15443	9305
312	15488	9253
313	15536	9202
314	15583	9152
315	15627	9099
316	15672	9047
317	15714	8993
318	15758	8941
319	15802	8888
320	15846	8836
321	15890	8784
322	15936	8733
323	15983	8682
324	16029	8631
325	16077	8581
326	16125	8530
327	16172	8480
328	16220	8430
329	16279	8386
330	16351	8348
331	16415	8306
332	16466	8258
333	16516	8209
334	16569	8160
335	16616	8110
336	16674	8065
337	16727	8017
338	16780	7969
339	16832	7921
340	16882	7871
341	16930	7821
342	16979	7772
343	17029	7722
344	17077	7672
345	17127	7623
346	17174	7572
347	17220	7521
348	17270	7472
349	17319	7422
350	17377	7376
351	17433	7329
352	17482	7280
353	17535	7232
354	17587	7183
355	17642	7136
356	17696	7088
357	17748	7040
358	17802	6991
359	17850	6941
360	17898	6891
361	17949	6842
362	17999	6793
363	18052	6744
364	18097	6693
365	18144	6643
366	18192	6592
367	18244	6544
368	18293	6494
369	18341	6444
370	18401	6398
371	18458	6351
372	18511	6302
373	18559	6252
374	18606	6202
375	18658	6153
376	18711	6104
377	18769	6058
378	18822	6009
379	18874	5960
380	18927	5911
381	18980	5863
382	19030	5813
383	19081	5764
384	19132	5714
385	19178	5664
386	19229	5614
387	19280	5565
388	19327	5515
389	19374	5464
390	19432	5417
391	19483	5367
392	19531	5317
393	19581	5268
394	19629	5218
395	19675	5167
396	19720	5116
397	19764	5065
398	19808	5014
399	19852	4963
400	19898	4912
401	19945	4862
402	19990	4811
403	20038	4761
404	20093	4713
405	20146	4664
406	20193	4614
407	20243	4564
408	20297	4516
409	20347	4466
410	20396	4416
411	20446	4367
412	20493	4316
413	20537	4266
414	20582	4215
415	20631	4166
416	20678	4115
417	20724	4065
418	20769	4015
419	20812	3964
420	20856	3913
421	20904	3863
422	20947	3813
423	20993	3762
424	21038	3712
425	21085	3662
426	21136	3613
427	21188	3564
428	21232	3514
429	21280	3464
430	21328	3414
431	21378	3365
432	21424	3315
433	21469	3265
434	21514	3214
435	21560	3164
436	21605	3114
437	21648	3064
438	21694	3014
439	21736	2964
440	21777	2913
441	21822	2863
442	21869	2813
443	21914	2763
444	21956	2713
445	22000	2663
446	22045	2613
447	22088	2563
448	22135	2514
449	22180	2464
450	22230	2415
451	22272	2365
452	22316	2315
453	22365	2266
454	22411	2216
455	22455	2166
456	22502	2117
457	22549	2067
458	22593	2018
459	22634	1968
460	22683	1918
461	22731	1869
462	22776	1820
463	22822	1770
464	22869	1721
465	22915	1671
466	22962	1622
467	23005	1572
468	23049	1523
469	23093	1474
470	23140	1424
471	23185	1375
472	23231	1326
473	23278	1276
474	23321	1227
475	23366	1178
476	23413	1128
477	23461	1079
478	23512	1030
479	23557	981
480	23605	932
481	23651	883
482	23695	834
483	23736	784
484	23782	735
485	23826	686
486	23870	637
487	23914	588
488	23961	539
489	24006	489
490	24056	440
491	24103	391
492	24149	342
493	24197	293
494	24244	244
495	24293	195
496	24340	146
497	24387	97
498	24433	48
499	24482	0
